Date,Tournament,P,W/L,Side,Vs,Bans,Bans Vs,Picks,Picks Vs,Players,SB,VOD
27/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.08, Patch 25.08",Win,Blue,OKSavingsBank BRION,"Taliyah, Xin Zhao, Alistar, Miss Fortune, Ashe","Kalista, Vi, Azir, Caitlyn, Lucian","Gwen, Pantheon, Sylas, Xayah, Elise","Ambessa, Naafiri, Ahri, Ezreal, Rell","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 4 (2)",VOD
27/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.08, Patch 25.08",Loss,Red,OKSavingsBank BRION,"Vi, Gwen, Taliyah, Kai'Sa, Miss Fortune","Xin Zhao, Azir, Kalista, Jayce, Alistar","Aurora, Skarner, Viktor, Varus, Poppy","Rumble, Sejuani, Yone, Jhin, Rakan","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 4 (2)",VOD
25/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.08, Patch 25.08",Win,Blue,Dplus KIA,"Ezreal, Ambessa, Sion, Alistar, Kai'Sa","Kalista, Vi, Xin Zhao, Caitlyn, Senna","Renekton, Lillia, Viktor, Lucian, Braum","Aatrox, Pantheon, Sylas, Ashe, Poppy","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 4",VOD
25/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.08, Patch 25.08",Loss,Red,Dplus KIA,"Ezreal, Vi, Xin Zhao, Poppy, Pantheon","Kalista, Viktor, Sion, Alistar, Ziggs","Jayce, Sejuani, Yone, Xayah, Rakan","Gwen, Viego, Ahri, Miss Fortune, Rell","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 4",VOD
25/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.08, Patch 25.08",Win,Blue,Dplus KIA,"Ezreal, Xin Zhao, Jayce, Alistar, Nautilus","Kalista, Vi, Gwen, Galio, Bard","Ornn, Naafiri, Azir, Jhin, Neeko","Rumble, Skarner, Taliyah, Varus, Leona","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 4",VOD
18/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.07, Patch 25.07",Loss,Blue,BNK FEARX,"Yone, Zyra, Ambessa, Kai'Sa, Nautilus","Vi, Rumble, Kalista, Caitlyn, Jhin","Yorick, Lee Sin, Viktor, Jinx, Lulu","Sion, Viego, Ahri, Zeri, Alistar","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 3",VOD
18/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.07, Patch 25.07",Loss,Red,BNK FEARX,"Vi, Kalista, Yone, Xayah, Zeri","Viktor, Rumble, Sion, Alistar, Nautilus","Gwen, Sejuani, Corki, Ashe, Renata Glasc","Jayce, Skarner, Ryze, Miss Fortune, Rell","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 3",VOD
18/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.07, Patch 25.07",Win,Red,BNK FEARX,"Vi, Kalista, Jayce, Nautilus, Renata Glasc","Rumble, Sion, Gwen, Alistar, Ambessa","Gragas, Xin Zhao, Azir, Ezreal, Rakan","Jax, Naafiri, Taliyah, Varus, Poppy","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 3",VOD
16/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.07, Patch 25.07",Win,Blue,Nongshim RedForce,"Yone, Rumble, Corki, Nautilus, Blitzcrank","Vi, Kalista, Xayah, Renata Glasc, Ezreal","Sion, Viego, Viktor, Jinx, Tahm Kench","Gangplank, Nocturne, Ahri, Kai'Sa, Rakan","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 3",VOD
16/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.07, Patch 25.07",Loss,Red,Nongshim RedForce,"Yone, Rumble, Vi, Braum, Nautilus","Kalista, Viktor, Ambessa, Ezreal, Rakan","Gnar, Sejuani, Ryze, Miss Fortune, Neeko","Sylas, Xin Zhao, Galio, Ashe, Elise","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 3",VOD
16/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.07, Patch 25.07",Win,Blue,Nongshim RedForce,"Sejuani, Rumble, Xin Zhao, Nautilus, Rakan","Kalista, Vi, Ryze, Renata Glasc, Ezreal","Gwen, Skarner, Taliyah, Zeri, Lulu","Jayce, Poppy, Azir, Varus, Alistar","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 3",VOD
12/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.07, Patch 25.07",Loss,Blue,Hanwha Life Esports,"Varus, Skarner, Taliyah, Akali, Xayah","Gwen, Vi, Azir, Poppy, Nocturne","Ambessa, Jarvan IV, Viktor, Kalista, Ashe","Jax, Xin Zhao, Sylas, Caitlyn, Renata Glasc","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 2 (2)",VOD
12/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.07, Patch 25.07",Loss,Red,Hanwha Life Esports,"Gwen, Vi, Kalista, Kai'Sa, Alistar","Varus, Xin Zhao, Azir, Poppy, Ezreal","Rumble, Naafiri, Ahri, Corki, Pantheon","Jayce, Sejuani, Yone, Miss Fortune, Rell","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 2 (2)",VOD
10/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.07, Patch 25.07",Win,Red,KT Rolster,"Kalista, Gwen, Azir, Braum, Rell","Varus, Sejuani, Jayce, Poppy, Nidalee","Ambessa, Nocturne, Viktor, Miss Fortune, Rakan","Renekton, Viego, Taliyah, Ashe, Leona","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 2",VOD
10/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.07, Patch 25.07",Win,Blue,KT Rolster,"Varus, Taliyah, Jayce, Sylas, Poppy","Kalista, Azir, Gwen, Ambessa, Rakan","Galio, Vi, Ahri, Kai'Sa, Gragas","Rumble, Xin Zhao, Corki, Ezreal, Alistar","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 2",VOD
6/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.06, Patch 25.06",Loss,Blue,Gen.G,"Yone, Ashe, Jayce, Jinx, Kai'Sa","Vi, Kalista, Varus, Elise, Pyke","Jax, Sejuani, Taliyah, Caitlyn, Bard","K'Sante, Lillia, Viktor, Xayah, Blitzcrank","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 1 (2)",VOD
6/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.06, Patch 25.06",Loss,Red,Gen.G,"Jayce, Vi, Kalista, Taliyah, Leona","Varus, Viktor, Sejuani, Orianna, Elise","Ambessa, Nocturne, Ryze, Corki, Poppy","Gnar, Naafiri, Galio, Ezreal, Nautilus","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 1 (2)",VOD
6/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.06, Patch 25.06",Win,Blue,Gen.G,"Varus, Vi, Jayce, Nautilus, Poppy","Kalista, Naafiri, Sejuani, Ashe, Elise","Gwen, Xin Zhao, Ahri, Jhin, Alistar","Rumble, Skarner, Azir, Miss Fortune, Rakan","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards/Week 1 (2)",VOD
4/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.06, Patch 25.06",Win,Red,DRX,"Gwen, Sejuani, Ezreal, Kai'Sa, Xayah","Poppy, Varus, Kalista, Skarner, Nocturne","Ambessa, Lee Sin, Sylas, Miss Fortune, Rakan","Aatrox, Vi, Ahri, Ashe, Braum","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards",VOD
4/04/2025,"KRLCK 2025 Rounds 1-2, LCK 2025 Rounds 1-2","25.06, Patch 25.06",Win,Red,DRX,"Gwen, Sejuani, Taliyah, Ezreal, Kai'Sa","Varus, Vi, Kalista, Miss Fortune, Ashe","Rumble, Xin Zhao, Azir, Jhin, Alistar","Jayce, Naafiri, Aurora, Corki, Rell","Doran,Oner,Faker,Gumayusi,Keria","SB, LCK/2025 Season/Rounds 1-2/Scoreboards",VOD
13/02/2025,"KRLCK Cup 2025, LCK Cup 2025","25.S1.3, Patch 25.S1.3",Loss,Red,Hanwha Life Esports,"Yone, Maokai, Neeko, Nocturne, Camille","Lee Sin, Lillia, Galio, Orianna, Twisted Fate","Akali, Skarner, Zoe, Draven, Soraka","Olaf, Amumu, Taliyah, Kalista, Renata Glasc","Doran,Oner,Faker,Smash,Keria","SB, LCK/2025 Season/Cup/Scoreboards/Playoffs Round 1",VOD
